iter	Passed	Remaining
0	173	34622
1	192	19050
2	202	13322
3	210	10338
4	220	8603
5	228	7379
6	236	6513
7	243	5855
8	253	5369
9	262	4990
10	270	4654
11	279	4374
12	287	4136
13	296	3933
14	304	3754
15	312	3593
16	324	3498
17	332	3366
18	342	3260
19	351	3163
20	363	3102
21	373	3023
22	382	2947
23	392	2881
24	403	2826
25	413	2766
26	424	2717
27	434	2669
28	445	2629
29	455	2583
30	465	2539
31	475	2496
32	485	2456
33	493	2409
34	501	2365
35	509	2323
36	517	2281
37	527	2248
38	536	2214
39	545	2180
40	557	2160
41	566	2129
42	575	2100
43	584	2073
44	593	2044
45	602	2018
46	612	1992
47	621	1969
48	632	1948
49	640	1921
50	650	1900
51	660	1879
52	669	1855
53	677	1832
54	685	1808
55	693	1784
56	702	1761
57	710	1739
58	719	1720
59	728	1700
60	736	1678
61	745	1660
62	755	1641
63	765	1626
64	774	1608
65	782	1589
66	791	1571
67	800	1554
68	809	1537
69	813	1511
70	822	1494
71	830	1477
72	839	1460
73	849	1447
74	859	1433
75	868	1417
76	877	1402
77	887	1387
78	895	1371
79	904	1357
80	913	1342
81	922	1328
82	932	1313
83	941	1300
84	950	1286
85	959	1271
86	984	1278
87	994	1265
88	1004	1252
89	1015	1240
90	1025	1227
91	1036	1216
92	1045	1202
93	1055	1189
94	1065	1177
95	1075	1165
96	1085	1152
97	1095	1140
98	1104	1127
99	1116	1116
100	1128	1105
101	1138	1093
102	1147	1081
103	1158	1069
104	1169	1058
105	1180	1047
106	1191	1035
107	1202	1024
108	1212	1012
109	1222	999
110	1235	990
111	1247	979
112	1258	968
113	1269	957
114	1280	946
115	1291	935
116	1303	924
117	1314	913
118	1325	902
119	1334	889
120	1345	878
121	1357	867
122	1367	856
123	1378	844
124	1389	833
125	1399	821
126	1408	809
127	1417	797
128	1425	784
129	1434	772
130	1443	760
131	1451	747
132	1460	735
133	1469	723
134	1477	711
135	1488	700
136	1498	688
137	1508	677
138	1517	666
139	1527	654
140	1534	642
141	1543	630
142	1552	618
143	1560	606
144	1570	595
145	1578	583
146	1588	572
147	1596	561
148	1605	549
149	1613	537
150	1622	526
151	1631	515
152	1641	504
153	1649	492
154	1659	481
155	1668	470
156	1677	459
157	1686	448
158	1697	437
159	1706	426
160	1715	415
161	1725	404
162	1734	393
163	1743	382
164	1752	371
165	1762	360
166	1772	350
167	1782	339
168	1791	328
169	1801	317
170	1811	307
171	1820	296
172	1830	285
173	1840	274
174	1849	264
175	1858	253
176	1868	242
177	1878	232
178	1886	221
179	1897	210
180	1906	200
181	1915	189
182	1924	178
183	1933	168
184	1942	157
185	1951	146
186	1959	136
187	1968	125
188	1976	115
189	1986	104
190	1996	94
191	2005	83
192	2014	73
193	2023	62
194	2032	52
195	2041	41
196	2050	31
197	2060	20
198	2071	10
199	2080	0
